product_id,product_name,category,stock_level,reorder_point,last_restocked
1,Wireless Headphones,Electronics,45,50,2024-01-15
2,Bluetooth Speaker,Electronics,120,40,2024-02-10
3,Smart Watch,Electronics,30,35,2024-01-28
4,USB-C Hub 7-Port,Electronics,200,60,2024-03-05
5,Webcam HD 1080p,Electronics,85,30,2024-02-22
6,Mechanical Keyboard,Electronics,60,25,2024-03-12
7,Gaming Mouse,Electronics,95,40,2024-02-18
8,Laptop Stand Adjustable,Electronics,15,30,2024-01-10
9,HDMI Cable 2m,Electronics,310,80,2024-03-20
10,Power Bank 20000mAh,Electronics,50,45,2024-03-08
11,True Wireless Earbuds,Electronics,22,50,2024-02-14
12,Phone Charger 65W,Electronics,180,70,2024-03-15
13,Portable Monitor 15",Electronics,18,20,2024-01-22
14,Smart Plug 4-Pack,Electronics,75,35,2024-02-28
15,Noise-Cancelling Headset,Electronics,110,45,2024-03-03
16,Running Shoes,Apparel,130,50,2024-02-05
17,Sunglasses,Apparel,210,60,2024-03-10
18,Winter Jacket,Apparel,8,25,2024-01-05
19,Yoga Pants,Apparel,95,40,2024-02-20
20,Baseball Cap,Apparel,175,55,2024-03-18
21,Hiking Boots,Apparel,42,30,2024-02-08
22,Polo Shirt,Apparel,220,80,2024-03-22
23,Dress Shirt,Apparel,88,45,2024-03-01
24,Denim Jeans,Apparel,155,60,2024-02-25
25,Sports Socks 6-Pack,Apparel,340,100,2024-03-14
26,Beanie Hat,Apparel,12,30,2024-01-18
27,Rain Jacket,Apparel,55,30,2024-02-12
28,Compression Leggings,Apparel,70,35,2024-03-07
29,Casual Sneakers,Apparel,100,50,2024-03-19
30,Athletic T-Shirt,Apparel,265,90,2024-03-25
31,Desk Lamp LED,Home,145,50,2024-02-16
32,Coffee Maker Drip,Home,38,20,2024-03-02
33,Throw Pillow Set,Home,220,70,2024-03-11
34,Scented Candle,Home,380,120,2024-03-23
35,Picture Frame 8x10,Home,92,40,2024-02-19
36,Storage Basket Set,Home,65,30,2024-03-06
37,Ceramic Plant Pot,Home,155,50,2024-02-27
38,Wall Clock Minimalist,Home,48,25,2024-03-09
39,Bath Towel Set,Home,105,45,2024-03-16
40,Kitchen Scale Digital,Home,16,20,2024-01-30
41,Food Processor 600W,Home,24,15,2024-02-06
42,Bamboo Cutting Board,Home,195,60,2024-03-21
43,Protein Bar Box 12-Pack,Food,450,150,2024-03-27
44,Green Tea 50-Pack,Food,280,100,2024-03-13
45,Mixed Nuts 500g,Food,195,80,2024-03-04
46,Energy Drink 24-Pack,Food,90,120,2024-02-23
47,Granola 1kg,Food,165,70,2024-03-17
48,Extra Virgin Olive Oil,Food,85,60,2024-02-29
49,Sriracha Hot Sauce,Food,12,40,2024-01-25
50,Premium Coffee Beans 1kg,Food,220,90,2024-03-26
